object,shape,dimension_x_mm,dimension_y_mm,dimension_z_mm,centroid_x_mm,centroid_y_mm,centroid_z_mm,volume_ml,max_diameter_mm,depth_from_surface_mm,source,purpose
L1,sphere,12,12,12,-35,-25,45,0.905,12,5,design_candidate,small superficial target
L2,sphere,20,20,20,35,-20,50,4.189,20,10,design_candidate,mid-size spherical target
L3,ellipsoid,28,18,14,-25,30,55,3.695,28,18,design_candidate,anisotropic target
L4,ellipsoid,36,24,18,30,28,48,8.143,36,25,design_candidate,larger superficial target
L5,ellipsoid,24,24,8,0,5,72,2.413,24,4,design_candidate,shallow plaque-like target
